,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,East London,32,ZA,1548286775,100,-33.02,27.91,68.39,18.7
1,Mar del Plata,24,AR,1548286513,28,-46.43,-67.52,77.97,17.69
2,Ponta do Sol,56,BR,1548286778,87,-20.63,-46.0,69.02,1.7
3,Punta Arenas,0,CL,1548284400,34,-53.16,-70.91,66.2,14.99
4,Jian,88,IN,1548286780,94,25.65,87.89,57.09,2.93
5,Yerbogachen,92,RU,1548286781,81,61.28,108.01,7.82,7.4
6,Carutapera,88,BR,1548286782,88,-1.2,-46.02,79.37,7.63
7,Bredasdorp,92,ZA,1548284400,62,-34.53,20.04,59.0,2.24
8,Rikitea,92,PF,1548286784,100,-23.12,-134.97,80.18,14.34
9,Leningradskiy,76,RU,1548286786,89,69.38,178.42,-6.36,17.36
10,Ushuaia,40,AR,1548284400,36,-54.81,-68.31,62.6,8.05
11,Jamestown,0,AU,1548286518,58,-33.21,138.6,88.59,10.98
12,Bluff,0,AU,1548286789,52,-23.58,149.07,85.4,6.96
13,Faanui,76,PF,1548286790,100,-16.48,-151.75,82.47,16.8
14,Ca Mau,0,VN,1548286791,94,9.18,105.15,73.97,8.63
15,Albany,90,US,1548285780,79,42.65,-73.75,39.02,9.17
16,Araouane,0,ML,1548286794,53,18.9,-3.53,39.9,4.05
17,George,40,NG,1548284400,94,6.63,3.35,82.4,3.36
18,Mataura,92,NZ,1548286796,78,-46.19,168.86,52.28,17.36
19,New Norfolk,20,AU,1548284400,48,-42.78,147.06,66.2,4.7
20,Airai,92,TL,1548286798,95,-8.93,125.41,71.85,2.37
21,Nouadhibou,0,MR,1548286799,75,20.93,-17.03,61.55,11.1
22,Huaihua,92,CN,1548286800,87,27.56,109.96,38.64,1.48
23,Ribeira Grande,88,PT,1548286802,97,38.52,-28.7,62.22,20.04
24,Richards Bay,68,ZA,1548286803,93,-28.77,32.06,72.57,5.17
25,Busselton,48,AU,1548286804,100,-33.64,115.35,64.2,19.93
26,Hithadhoo,56,MV,1548286805,100,-0.6,73.08,82.07,10.65
27,Lagoa,75,PT,1548284400,82,37.14,-8.45,57.2,10.29
28,Bandipur,0,IN,1548286808,92,11.67,76.63,56.55,1.92
29,Puerto Ayora,75,EC,1548284400,88,-0.74,-90.35,78.8,12.75
30,Arraial do Cabo,0,BR,1548280800,74,-22.97,-42.02,78.8,18.34
31,Pandan,92,PH,1548286811,100,11.72,122.09,77.21,21.5
